text,label,source,domain,,,,,
Creative approaches in problem solving,1,artigo1.txt,cti,,,,,
Creative environment,1,artigo1.txt,cti,,,,,
Percentage of leaders trained in creativity techniques,1,artigo1.txt,cti,,,,,
Atmosphere of innovation among staff,1,artigo1.txt,cti,,,,,
Compatibility of innovation with current attitudes and workflow/personal routine,1,artigo1.txt,cti,,,,,
Percentage of ideas generated in new domains,1,artigo1.txt,cti,,,,,
Number of externally generated ideas,1,artigo1.txt,cti,,,,,
The amount of time managers/senior management spent with innovation compared to normal operational tasks,1,artigo1.txt,cti,,,,,
"Number of identified problems (product, process)",1,artigo1.txt,cti,,,,,
Number of external ideas/number of implemented ideas,1,artigo1.txt,cti,,,,,
The integration of customers and suppliers into product development,1,artigo1.txt,cti,,,,,
Number/percentage of ideas generated in collaboration with customers,1,artigo1.txt,cti,,,,,
Number of failures,1,artigo1.txt,cti,,,,,
Number of new strategic activities (newly created innovative opportunities),1,artigo1.txt,cti,,,,,
Number of managers having training in the methods and tools of innovation,1,artigo1.txt,cti,,,,,
Researches (input),1,artigo1.txt,cti,,,,,
Purchase of information and information updates,1,artigo1.txt,cti,,,,,
Number of new competencies for innovation,1,artigo1.txt,cti,,,,,
Enterprise training,1,artigo1.txt,cti,,,,,
Qualification of employees,1,artigo1.txt,cti,,,,,
Company's investment in know-how,1,artigo1.txt,cti,,,,,
Identifying innovations in technical and specialized journals (LBIOs),1,artigo1.txt,cti,,,,,
Publication count/number of publications,1,artigo1.txt,cti,,,,,
"Number of awards, publication",1,artigo1.txt,cti,,,,,
Scientific impact (citations/paper),1,artigo1.txt,cti,,,,,
Increasing publications/articles,1,artigo1.txt,cti,,,,,
Publications by the company as the champion in innovation,1,artigo1.txt,cti,,,,,
Open excellent attractive research,1,artigo1.txt,cti,,,,,
International scientific co-publications,1,artigo1.txt,cti,,,,,
Top 10% most cited scientific publications worldwide,1,artigo1.txt,cti,,,,,
Organizational support for public/private research co-publications,1,artigo1.txt,cti,,,,,
Size of the business,1,artigo1.txt,cti,,,,,
Geographic location of the company,1,artigo1.txt,cti,,,,,
Age of company,1,artigo1.txt,cti,,,,,
Scale,1,artigo1.txt,cti,,,,,
Field,1,artigo1.txt,cti,,,,,
Export and business performance,1,artigo1.txt,cti,,,,,
External and internal growth,1,artigo1.txt,cti,,,,,
Ownership structure,1,artigo1.txt,cti,,,,,
Cross-functional integration,1,artigo1.txt,cti,,,,,
Decentralized structure,1,artigo1.txt,cti,,,,,
Field of participation,1,artigo1.txt,cti,,,,,
Organizational architecture,1,artigo1.txt,cti,,,,,
Foreign ownership,1,artigo1.txt,cti,,,,,
Share of women employed in the non-agricultural sector,1,artigo1.txt,cti,,,,,
Availability of equipment and tools/technologies,1,artigo1.txt,cti,,,,,
Maintenance/of resources,1,artigo1.txt,cti,,,,,
Availability of sufficient experts,1,artigo1.txt,cti,,,,,
Human capital stock,1,artigo1.txt,cti,,,,,
Human resources/human resources focused on innovation,1,artigo1.txt,cti,,,,,
R&D personnel ratio,1,artigo1.txt,cti,,,,,
R&D intensity,1,artigo1.txt,cti,,,,,
Protected resources for non-core innovations,1,artigo1.txt,cti,,,,,
Project/company resource compatibility,1,artigo1.txt,cti,,,,,
Technological resource compatibility,1,artigo1.txt,cti,,,,,
R&D assets and strategies,1,artigo1.txt,cti,,,,,
Total cost,1,artigo1.txt,cti,,,,,
Project budget,1,artigo1.txt,cti,,,,,
Non-R&D innovation expenditure,1,artigo1.txt,cti,,,,,
R&D expenditure/investment/size of investment,1,artigo1.txt,cti,,,,,
Average expenditure per selected idea,1,artigo1.txt,cti,,,,,
Percentage of sales related to new projects,1,artigo1.txt,cti,,,,,
Development costs,1,artigo1.txt,cti,,,,,
R&D spending all/private,1,artigo1.txt,cti,,,,,
R&D investment and investors,1,artigo1.txt,cti,,,,,
Innovation expenditure per employee,1,artigo1.txt,cti,,,,,
Share of research budget from total company budget,1,artigo1.txt,cti,,,,,
Financial resource constraints,1,artigo1.txt,cti,,,,,
Technological investment,1,artigo1.txt,cti,,,,,
Extent to which the company management welcomes and supports,1,artigo1.txt,cti,,,,,
Research projects,1,artigo1.txt,cti,,,,,
R&D budget,1,artigo1.txt,cti,,,,,
Project cost,1,artigo1.txt,cti,,,,,
Innovation financing,1,artigo1.txt,cti,,,,,
Share of technology transfer (of R&D),1,artigo1.txt,cti,,,,,
Innovation expenses,1,artigo1.txt,cti,,,,,
Share of R&D cost externally and internally,1,artigo1.txt,cti,,,,,
Desing expenditure,1,artigo1.txt,cti,,,,,
Technology acquisition costs,1,artigo1.txt,cti,,,,,
Tooling cost,1,artigo1.txt,cti,,,,,
Tool usage,1,artigo1.txt,cti,,,,,
Adoption of at least some western methods,1,artigo1.txt,cti,,,,,
External finance and credit from local banks,1,artigo1.txt,cti,,,,,
