article_id,pair,method,ref_count,hyp_count,tp,fp,fn,precision,recall,f1
artigo1,human_vs_gemini,exact,115,153,8,134,107,0.0563,0.0696,0.0623
artigo1,human_vs_gemini,fuzzy,115,153,87,57,28,0.6042,0.7565,0.6718
artigo1,human_vs_gemini,semantic,115,153,21,132,94,0.1373,0.1826,0.1567
artigo1,human_vs_gemini,bertscore,115,153,16,137,99,0.1046,0.1391,0.1194
artigo2,human_vs_gemini,exact,101,155,67,87,32,0.4351,0.6768,0.5296
artigo2,human_vs_gemini,fuzzy,101,155,97,57,4,0.6299,0.9604,0.7608
artigo2,human_vs_gemini,semantic,101,155,78,77,23,0.5032,0.7723,0.6094
artigo2,human_vs_gemini,bertscore,101,155,75,80,26,0.4839,0.7426,0.5859
artigo3,human_vs_gemini,exact,117,109,106,3,11,0.9725,0.906,0.9381
artigo3,human_vs_gemini,fuzzy,117,109,109,0,8,1.0,0.9316,0.9646
artigo3,human_vs_gemini,semantic,117,109,108,1,9,0.9908,0.9231,0.9558
artigo3,human_vs_gemini,bertscore,117,109,106,3,11,0.9725,0.906,0.9381
artigo4,human_vs_gemini,exact,67,108,59,49,7,0.5463,0.8939,0.6782
artigo4,human_vs_gemini,fuzzy,67,108,67,41,0,0.6204,1.0,0.7657
artigo4,human_vs_gemini,semantic,67,108,67,41,0,0.6204,1.0,0.7657
artigo4,human_vs_gemini,bertscore,67,108,65,43,2,0.6019,0.9701,0.7429
artigo5,human_vs_gemini,exact,59,78,55,23,3,0.7051,0.9483,0.8088
artigo5,human_vs_gemini,fuzzy,59,78,58,20,1,0.7436,0.9831,0.8467
artigo5,human_vs_gemini,semantic,59,78,58,20,1,0.7436,0.9831,0.8467
artigo5,human_vs_gemini,bertscore,59,78,58,20,1,0.7436,0.9831,0.8467
artigo6,human_vs_gemini,exact,166,71,14,55,152,0.2029,0.0843,0.1191
artigo6,human_vs_gemini,fuzzy,166,71,54,15,112,0.7826,0.3253,0.4596
artigo6,human_vs_gemini,semantic,166,71,32,39,134,0.4507,0.1928,0.27
artigo6,human_vs_gemini,bertscore,166,71,24,47,142,0.338,0.1446,0.2025
artigo7,human_vs_gemini,exact,115,173,113,45,2,0.7152,0.9826,0.8278
artigo7,human_vs_gemini,fuzzy,115,173,114,44,1,0.7215,0.9913,0.8352
artigo7,human_vs_gemini,semantic,115,173,114,59,1,0.659,0.9913,0.7917
artigo7,human_vs_gemini,bertscore,115,173,114,59,1,0.659,0.9913,0.7917
AGGREGATE,human_vs_gemini,exact,,,,,,0.5191,0.6516,0.5663
AGGREGATE,human_vs_gemini,fuzzy,,,,,,0.7289,0.8497,0.7578
AGGREGATE,human_vs_gemini,semantic,,,,,,0.5864,0.7207,0.628
AGGREGATE,human_vs_gemini,bertscore,,,,,,0.5576,0.6967,0.6039
